Biyar Sehhat,#group#
TUDN_p,http://190.61.102.67:31589/play/a08j/index.m3u8
TEN_SPORT_HD,http://208.86.19.13:81/7111.stream/index.m3u8
World Cup Toffee01,https://mprod-cdn.toffeelive.com/toffee/fifa-paid/match-1/master_1000.m3u8
World Cup Toffee02,https://mprod-cdn.toffeelive.com/toffee/fifa-paid/match-2/master_1000.m3u8
HIMALAYA_PREMIUM,http://103.41.175.154:8081/livesports/HimPrem/playlist.m3u8
TYC_sports_argentina,https://d3awnlgqz0szay.cloudfront.net/out/v1/b841c366cbe540e6a106c3ba83e5c8d6/index.m3u8
QAZsport_live,http://92.46.127.146:8080/qazsport/tracks-v1a1/mono.m3u8
T_sport,https://v-px.mybtv.net/live/39.m3u8
CCTV5_Ch,http://39.135.138.59:18890/PLTV/88888910/224/3221225648/index.m3u8
CCTV_16_ch,http://117.169.124.149:8080/live/HD-4000k-1080P-cctv16/1.m3u8
Direct_Sports,http://190.210.221.119/Processor3_9_chunklist_b1300000.m3u8
TELE_VIVO,http://45.90.105.74:25461/live/budtvsports/wTu27rKVNU/21796.m3u8
Chanal6,https://59537faa0729a.streamlock.net:443/canal6mdp/canal6mdp/chunklist_w1042600595.m3u8
TUDN,http://190.61.102.67:31589/play/a08j/index.m3u8
Telemundo,https://v-ca.mybtv.net/live/140/768x432.m3u8
CanalSport10,http://138.117.4.70:8075/channel10/playlist.m3u8
TraceSport,https://lightning-tracesport-samsungau.amagi.tv/playlist.m3u8
Jsport.1,http://redlabmcdn.s.llnwi.net/nv02/bs15hd/playlist.m3u8
TyC.sport,http://45.189.117.32:7579/play/a01n/index.m3u8
VTV2,http://171.238.181.52:18080/192.m3u8
ARY_PAK,http://208.86.19.13:81/627.stream/index.m3u8
MBC_korea,http://123.254.72.24:1935/tvlive/livestream2/chunklist_w431937155.m3u8
VTV5_viet,http://live.tv360.vn/manifest/VTV5_HD/playlist_720p.m3u8
VTV6_viet,http://live.tv360.vn/manifest/VTV6_HD/playlist_720p.m3u8
SCTV.FHD,https://02ip.ru/sctvFHD?shareext.ts
ASTROx_WC.1_LIV,https://02ip.ru/astroWC1?shareext.ts
ASTROx_WC.2_LIVE,https://02ip.ru/astroWC2?shareext.ts
ASPORT.WC.1_U,http://clientsportals.com:2095/f778W3He/yj7FXRjr/348094
ASPORT.WC.2_UHD,http://clientsportals.com:2095/f778W3He/yj7FXRjr/348095
|C|Alkaz Sports 1,http://connect.proxytx.cloud:80/play/live.php?mac=00:1A:79:1c:0b:6c&stream=1053342&extension=ts&play_token=pk7zRQATRG
|C|TRT sport,http://connect.proxytx.cloud:80/play/live.php?mac=00:1A:79:1c:0b:6c&stream=1051562&extension=ts&play_token=w75Z03EM6A
W|FS 1,http://watchindia.net:8880/live/dharmend/PTukavDWzh/2406.ts
W|Sport 18,http://watchindia.net:8880/live/dharmend/PTukavDWzh/2405.ts
T_sports_360p,http://cdn01.palki.tv/live/TSports-M/tracks-v2/index.fmp4.m3u8
